product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3,display_category_id,soldout,source_file,season_warm_weight,season_mid_weight,season_cold_weight,season_temperature_score,season_profile_label,category_code,color_code
DMPA5BC21I2,베이지 써머 코튼 치노 팬츠,닥스 남성,DM,1001,2,[25SS],여름,0,1,0,0,0,270000,170100,37,0,0,8,4.9,762,0,4,44,"79 (31):5, 82 (32):0, 85 (33):13, 88 (34):7, 91 (36):6, 94 (37):6, 97 (39):4, 100 (40):3",146,"밝은 블루:40, 밝은 초록:29, 밝은 베이지:33, 베이지:44",남성의류,팬츠,롱팬츠,,,daks_men_products_enriched_all.csv,1.0,0.0,0.0,0.0,summer,PA,I2
DMPA5AC21N1,[FOLGAROLAS] 라이트네이비 다잉 치노 팬츠,닥스 남성,DM,1001,2,[25SS],봄,1,0,0,0,0,300000,171600,42,0,0,6,5.0,170,0,5,2,"79 (31):0, 82 (32):0, 85 (33):0, 88 (34):0, 91 (36):0, 94 (37):1, 97 (39):1",8,"밝은 그레이:2, 밝은 베이지:4, 밝은 네이비:2",남성의류,팬츠,롱팬츠,,,daks_men_products_enriched_all.csv,0.0,1.0,0.0,0.5,spring,PA,N1
DMSW6B054B1,라이트블루 코튼 혼방 타탄체크 반팔 스웨터,닥스 남성,DM,1001,1,[26SS],여름,0,1,0,0,0,320000,288000,10,0,0,0,0.0,45,0,2,49,"95:11, 100:16, 105:19, 110:2, 115:1",78,"밝은 블루:49, 그레이:29",남성의류,니트/스웨터,,,,daks_men_products_enriched_all.csv,1.0,0.0,0.0,0.0,summer,SW,B1
DMPA5BC21I2,베이지 써머 코튼 치노 팬츠,닥스 남성,DM,1001,2,[25SS],여름,0,1,0,0,0,270000,170100,37,0,0,8,4.9,762,0,4,44,"79 (31):5, 82 (32):0, 85 (33):13, 88 (34):7, 91 (36):6, 94 (37):6, 97 (39):4, 100 (40):3",146,"밝은 블루:40, 밝은 초록:29, 밝은 베이지:33, 베이지:44",남성의류,팬츠,롱팬츠,,,daks_men_products_enriched_all.csv,1.0,0.0,0.0,0.0,summer,PA,I2
DMPA5AC21N1,[FOLGAROLAS] 라이트네이비 다잉 치노 팬츠,닥스 남성,DM,1001,2,[25SS],봄,1,0,0,0,0,300000,171600,42,0,0,7,5.0,170,0,5,2,"79 (31):0, 82 (32):0, 85 (33):0, 88 (34):0, 91 (36):0, 94 (37):1, 97 (39):1",8,"밝은 그레이:2, 밝은 베이지:4, 밝은 네이비:2",남성의류,팬츠,롱팬츠,,,daks_men_products_enriched_all.csv,0.0,1.0,0.0,0.5,spring,PA,N1
DMSW6B054B1,라이트블루 코튼 혼방 타탄체크 반팔 스웨터,닥스 남성,DM,1001,1,[26SS],여름,0,1,0,0,0,320000,288000,10,0,0,0,0.0,45,0,2,49,"95:11, 100:16, 105:19, 110:2, 115:1",78,"밝은 블루:49, 그레이:29",남성의류,니트/스웨터,,,,daks_men_products_enriched_all.csv,1.0,0.0,0.0,0.0,summer,SW,B1
WHPA4D401N2,[클리어런스][스테디셀러] 네이비 멜란지 면혼방 밴딩팬츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,209000,84640,59,0,0,99,4.8,3,0,37,72,"30(78cm):8, 31(80cm):9, 32(82cm):23, 33(84cm):11, 34(86cm):9, 35(88cm):5, 36(92cm):3, 37(94cm):4",205,"그레이:89, 진한 베이지:44, 네이비:72",남성의류,팬츠,롱팬츠,,,hazzys_men_products_enriched_all.csv,0.0,0.0,1.0,1.0,winter,PA,N2
WHSH5B513N2,[스테디셀러] 네이비 스트라이프 면 반팔캐주얼셔츠,헤지스 남성,WH,1002,2,[25SS],여름,0,1,0,0,0,179000,112770,37,0,0,0,0.0,102,0,4,646,"095:101, 100:267, 105:196, 110:61, 115:18, 120:3",885,"밝은 초록:74, 진한 카키:165, 네이비:646",남성의류,셔츠,반팔캐쥬얼셔츠,,,hazzys_men_products_enriched_all.csv,1.0,0.0,0.0,0.0,summer,SH,N2
HZSH5D535U2,퍼플 마드라스 체크 플란넬 셔츠,헤지스 남성,HZ,1002,2,[25FW],겨울,0,0,0,1,0,209000,131670,37,0,0,6,4.8,305,0,16,9,"95:2, 100:2, 105:2, 110:2, 115:1",9,퍼플:9,남성의류,셔츠,긴팔캐쥬얼셔츠,,,hazzys_men_products_enriched_all.csv,0.0,0.0,1.0,1.0,winter,SH,U2
HZSH6B330N2,네이비 린넨 인디고 체크 셔츠,헤지스 남성,HZ,1002,1,[26SS],여름,0,1,0,0,0,239000,215100,10,0,0,0,0.0,164,0,3,59,"S (95):12, M (100):28, L (105):13, XL (110):4, XXL:2",59,네이비:59,남성의류,셔츠,긴팔캐쥬얼셔츠,,,hazzys_men_products_enriched_all.csv,1.0,0.0,0.0,0.0,summer,SH,N2
WHPA4D401N2,[클리어런스][스테디셀러] 네이비 멜란지 면혼방 밴딩팬츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,209000,84640,59,0,0,99,4.8,3,0,37,72,"30(78cm):8, 31(80cm):9, 32(82cm):23, 33(84cm):11, 34(86cm):9, 35(88cm):5, 36(92cm):3, 37(94cm):4",205,"그레이:89, 진한 베이지:44, 네이비:72",남성의류,팬츠,롱팬츠,,,hazzys_men_products_enriched_all.csv,0.0,0.0,1.0,1.0,winter,PA,N2
WHSH5B513N2,[스테디셀러] 네이비 스트라이프 면 반팔캐주얼셔츠,헤지스 남성,WH,1002,2,[25SS],여름,0,1,0,0,0,179000,112770,37,0,0,0,0.0,102,0,4,646,"095:101, 100:267, 105:196, 110:61, 115:18, 120:3",885,"밝은 초록:74, 진한 카키:165, 네이비:646",남성의류,셔츠,반팔캐쥬얼셔츠,,,hazzys_men_products_enriched_all.csv,1.0,0.0,0.0,0.0,summer,SH,N2
HZSH5D535U2,퍼플 마드라스 체크 플란넬 셔츠,헤지스 남성,HZ,1002,2,[25FW],겨울,0,0,0,1,0,209000,131670,37,0,0,6,4.8,305,0,16,9,"95:2, 100:2, 105:2, 110:2, 115:1",9,퍼플:9,남성의류,셔츠,긴팔캐쥬얼셔츠,,,hazzys_men_products_enriched_all.csv,0.0,0.0,1.0,1.0,winter,SH,U2
HZSH6B330N2,네이비 린넨 인디고 체크 셔츠,헤지스 남성,HZ,1002,1,[26SS],여름,0,1,0,0,0,239000,215100,10,0,0,0,0.0,164,0,3,59,"S (95):12, M (100):28, L (105):13, XL (110):4, XXL:2",59,네이비:59,남성의류,셔츠,긴팔캐쥬얼셔츠,,,hazzys_men_products_enriched_all.csv,1.0,0.0,0.0,0.0,summer,SH,N2
